file,distance_to_goal,source_split,source_problem,source_plan_len,num_objects,init_applicable_actions,branch_tier,state_applicable_actions
305_d15_t1_le20_073_p-VAL-c4s2p7-30.pddl,15,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,22
306_d15_t1_le20_084_p-VAL-c3s3p6-1.pddl,15,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,17
307_d15_t1_le20_085_p-VAL-c4s2p6-30.pddl,15,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,15
308_d15_t1_le20_099_p-VAL-c4s2p6-29.pddl,15,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,18
309_d15_t1_le20_115_p-VAL-c4s2p7-15.pddl,15,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,21
310_d15_t2_21_40_003_p-VAL-c4s2p7-18.pddl,15,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,23
311_d15_t2_21_40_008_p-VAL-c4s3p8-22.pddl,15,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,26
312_d15_t2_21_40_017_p-VAL-c4s2p7-28.pddl,15,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,22
313_d15_t2_21_40_036_p-VAL-c4s3p8-13.pddl,15,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,28
314_d15_t2_21_40_045_p-VAL-c4s2p7-17.pddl,15,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,25
315_d15_t2_21_40_050_p-VAL-c4s3p8-23.pddl,15,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,29
316_d15_t2_21_40_064_p-VAL-c4s3p8-2.pddl,15,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,28
317_d15_t2_21_40_087_p-VAL-c4s2p7-6.pddl,15,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,27
330_d16_t1_le20_000_p-VAL-c3s3p6-11.pddl,16,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,19
331_d16_t1_le20_001_p-VAL-c4s2p6-21.pddl,16,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,17
332_d16_t1_le20_015_p-VAL-c4s2p6-5.pddl,16,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,18
333_d16_t1_le20_028_p-VAL-c3s3p6-27.pddl,16,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,18
334_d16_t1_le20_042_p-VAL-c3s3p6-13.pddl,16,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,19
335_d16_t1_le20_073_p-VAL-c4s2p7-30.pddl,16,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,22
336_d16_t1_le20_084_p-VAL-c3s3p6-1.pddl,16,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,18
337_d16_t1_le20_085_p-VAL-c4s2p6-30.pddl,16,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,15
338_d16_t1_le20_099_p-VAL-c4s2p6-29.pddl,16,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,18
339_d16_t1_le20_115_p-VAL-c4s2p7-15.pddl,16,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,20
340_d16_t2_21_40_003_p-VAL-c4s2p7-18.pddl,16,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,23
341_d16_t2_21_40_008_p-VAL-c4s3p8-22.pddl,16,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,26
342_d16_t2_21_40_017_p-VAL-c4s2p7-28.pddl,16,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,23
343_d16_t2_21_40_036_p-VAL-c4s3p8-13.pddl,16,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,28
344_d16_t2_21_40_045_p-VAL-c4s2p7-17.pddl,16,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,23
345_d16_t2_21_40_050_p-VAL-c4s3p8-23.pddl,16,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,28
346_d16_t2_21_40_064_p-VAL-c4s3p8-2.pddl,16,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,28
347_d16_t2_21_40_087_p-VAL-c4s2p7-6.pddl,16,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,25
360_d17_t1_le20_000_p-VAL-c3s3p6-11.pddl,17,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,20
361_d17_t1_le20_001_p-VAL-c4s2p6-21.pddl,17,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,17
362_d17_t1_le20_015_p-VAL-c4s2p6-5.pddl,17,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,19
363_d17_t1_le20_028_p-VAL-c3s3p6-27.pddl,17,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,17
364_d17_t1_le20_042_p-VAL-c3s3p6-13.pddl,17,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,17
365_d17_t1_le20_073_p-VAL-c4s2p7-30.pddl,17,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,22
366_d17_t1_le20_084_p-VAL-c3s3p6-1.pddl,17,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,17
367_d17_t1_le20_085_p-VAL-c4s2p6-30.pddl,17,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,18
368_d17_t1_le20_099_p-VAL-c4s2p6-29.pddl,17,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,18
369_d17_t1_le20_115_p-VAL-c4s2p7-15.pddl,17,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,20
370_d17_t2_21_40_003_p-VAL-c4s2p7-18.pddl,17,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,23
371_d17_t2_21_40_008_p-VAL-c4s3p8-22.pddl,17,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,26
372_d17_t2_21_40_017_p-VAL-c4s2p7-28.pddl,17,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,22
373_d17_t2_21_40_036_p-VAL-c4s3p8-13.pddl,17,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,29
374_d17_t2_21_40_045_p-VAL-c4s2p7-17.pddl,17,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,23
375_d17_t2_21_40_050_p-VAL-c4s3p8-23.pddl,17,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,29
376_d17_t2_21_40_064_p-VAL-c4s3p8-2.pddl,17,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,27
377_d17_t2_21_40_087_p-VAL-c4s2p7-6.pddl,17,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,23
390_d18_t1_le20_000_p-VAL-c3s3p6-11.pddl,18,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,19
391_d18_t1_le20_001_p-VAL-c4s2p6-21.pddl,18,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,17
392_d18_t1_le20_015_p-VAL-c4s2p6-5.pddl,18,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,20
393_d18_t1_le20_028_p-VAL-c3s3p6-27.pddl,18,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,17
394_d18_t1_le20_042_p-VAL-c3s3p6-13.pddl,18,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,18
395_d18_t1_le20_073_p-VAL-c4s2p7-30.pddl,18,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,22
396_d18_t1_le20_084_p-VAL-c3s3p6-1.pddl,18,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,18
397_d18_t1_le20_085_p-VAL-c4s2p6-30.pddl,18,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,18
398_d18_t1_le20_099_p-VAL-c4s2p6-29.pddl,18,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,18
399_d18_t1_le20_115_p-VAL-c4s2p7-15.pddl,18,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,21
400_d18_t2_21_40_003_p-VAL-c4s2p7-18.pddl,18,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,24
401_d18_t2_21_40_008_p-VAL-c4s3p8-22.pddl,18,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,27
402_d18_t2_21_40_017_p-VAL-c4s2p7-28.pddl,18,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,22
403_d18_t2_21_40_036_p-VAL-c4s3p8-13.pddl,18,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,28
404_d18_t2_21_40_045_p-VAL-c4s2p7-17.pddl,18,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,23
405_d18_t2_21_40_050_p-VAL-c4s3p8-23.pddl,18,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,29
406_d18_t2_21_40_064_p-VAL-c4s3p8-2.pddl,18,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,28
407_d18_t2_21_40_087_p-VAL-c4s2p7-6.pddl,18,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,23
420_d19_t1_le20_000_p-VAL-c3s3p6-11.pddl,19,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,17
421_d19_t1_le20_001_p-VAL-c4s2p6-21.pddl,19,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,17
422_d19_t1_le20_015_p-VAL-c4s2p6-5.pddl,19,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,21
423_d19_t1_le20_028_p-VAL-c3s3p6-27.pddl,19,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,17
424_d19_t1_le20_042_p-VAL-c3s3p6-13.pddl,19,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,17
425_d19_t1_le20_073_p-VAL-c4s2p7-30.pddl,19,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,22
426_d19_t1_le20_084_p-VAL-c3s3p6-1.pddl,19,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,18
427_d19_t1_le20_085_p-VAL-c4s2p6-30.pddl,19,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,18
428_d19_t1_le20_099_p-VAL-c4s2p6-29.pddl,19,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,18
429_d19_t1_le20_115_p-VAL-c4s2p7-15.pddl,19,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,21
430_d19_t2_21_40_003_p-VAL-c4s2p7-18.pddl,19,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,25
431_d19_t2_21_40_008_p-VAL-c4s3p8-22.pddl,19,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,27
432_d19_t2_21_40_017_p-VAL-c4s2p7-28.pddl,19,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,23
433_d19_t2_21_40_036_p-VAL-c4s3p8-13.pddl,19,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,27
434_d19_t2_21_40_045_p-VAL-c4s2p7-17.pddl,19,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,24
435_d19_t2_21_40_050_p-VAL-c4s3p8-23.pddl,19,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,29
436_d19_t2_21_40_064_p-VAL-c4s3p8-2.pddl,19,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,28
437_d19_t2_21_40_087_p-VAL-c4s2p7-6.pddl,19,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,23
450_d20_t1_le20_000_p-VAL-c3s3p6-11.pddl,20,test_v1,000_p-VAL-c3s3p6-11.pddl,39,22,17,t1_le20,18
451_d20_t1_le20_001_p-VAL-c4s2p6-21.pddl,20,test_v1,001_p-VAL-c4s2p6-21.pddl,25,23,15,t1_le20,17
452_d20_t1_le20_015_p-VAL-c4s2p6-5.pddl,20,test_v1,015_p-VAL-c4s2p6-5.pddl,25,23,18,t1_le20,20
453_d20_t1_le20_028_p-VAL-c3s3p6-27.pddl,20,test_v1,028_p-VAL-c3s3p6-27.pddl,44,22,12,t1_le20,17
454_d20_t1_le20_042_p-VAL-c3s3p6-13.pddl,20,test_v1,042_p-VAL-c3s3p6-13.pddl,37,22,13,t1_le20,17
455_d20_t1_le20_073_p-VAL-c4s2p7-30.pddl,20,test_v1,073_p-VAL-c4s2p7-30.pddl,46,25,19,t1_le20,23
456_d20_t1_le20_084_p-VAL-c3s3p6-1.pddl,20,test_v1,084_p-VAL-c3s3p6-1.pddl,39,22,13,t1_le20,18
457_d20_t1_le20_085_p-VAL-c4s2p6-30.pddl,20,test_v1,085_p-VAL-c4s2p6-30.pddl,43,23,14,t1_le20,18
458_d20_t1_le20_099_p-VAL-c4s2p6-29.pddl,20,test_v1,099_p-VAL-c4s2p6-29.pddl,41,23,16,t1_le20,18
459_d20_t1_le20_115_p-VAL-c4s2p7-15.pddl,20,test_v1,115_p-VAL-c4s2p7-15.pddl,32,25,20,t1_le20,20
460_d20_t2_21_40_003_p-VAL-c4s2p7-18.pddl,20,test_v1,003_p-VAL-c4s2p7-18.pddl,46,25,21,t2_21_40,26
461_d20_t2_21_40_008_p-VAL-c4s3p8-22.pddl,20,test_v1,008_p-VAL-c4s3p8-22.pddl,53,30,23,t2_21_40,27
462_d20_t2_21_40_017_p-VAL-c4s2p7-28.pddl,20,test_v1,017_p-VAL-c4s2p7-28.pddl,39,25,22,t2_21_40,22
463_d20_t2_21_40_036_p-VAL-c4s3p8-13.pddl,20,test_v1,036_p-VAL-c4s3p8-13.pddl,55,30,24,t2_21_40,28
464_d20_t2_21_40_045_p-VAL-c4s2p7-17.pddl,20,test_v1,045_p-VAL-c4s2p7-17.pddl,36,25,21,t2_21_40,23
465_d20_t2_21_40_050_p-VAL-c4s3p8-23.pddl,20,test_v1,050_p-VAL-c4s3p8-23.pddl,46,30,26,t2_21_40,29
466_d20_t2_21_40_064_p-VAL-c4s3p8-2.pddl,20,test_v1,064_p-VAL-c4s3p8-2.pddl,40,30,26,t2_21_40,28
467_d20_t2_21_40_087_p-VAL-c4s2p7-6.pddl,20,test_v1,087_p-VAL-c4s2p7-6.pddl,42,25,22,t2_21_40,22
